conv1_out,conv2_out,stride,kernel_size,padding,optimizer,lr,momentum,batch_size,epochs,val_accuracy
32,32,1,3,2,SGD,0.01,0.0,32,5,0.8873333333333333
32,32,1,3,2,SGD,0.01,0.0,64,5,0.8496666666666667
32,32,1,3,2,SGD,0.01,0.5,16,5,0.911
32,32,1,3,2,SGD,0.01,0.5,32,5,0.8831111111111111
32,32,1,3,2,SGD,0.01,0.5,64,5,0.8766666666666667
32,32,1,3,2,SGD,0.01,0.9,16,5,0.9164444444444444
32,32,1,3,2,SGD,0.01,0.9,32,5,0.9142222222222223
32,32,1,3,2,SGD,0.01,0.9,64,5,0.9091111111111111
32,32,1,5,1,SGD,0.001,0.0,16,5,0.8115555555555556
32,32,1,5,1,SGD,0.001,0.0,32,5,0.7777777777777778
32,32,1,5,1,SGD,0.001,0.0,64,5,0.7376666666666667
32,32,1,5,1,SGD,0.001,0.5,16,5,0.846
32,32,1,5,1,SGD,0.001,0.5,32,5,0.8207777777777778
32,32,1,5,1,SGD,0.001,0.5,64,5,0.778
32,32,1,5,1,SGD,0.001,0.9,16,5,0.8868888888888888
32,32,1,5,1,SGD,0.001,0.9,32,5,0.882
32,32,1,5,1,SGD,0.001,0.9,64,5,0.8587777777777778
32,32,1,5,1,SGD,0.01,0.0,16,5,0.8923333333333333
32,32,1,5,1,SGD,0.01,0.0,32,5,0.8823333333333333
32,32,1,5,1,SGD,0.01,0.0,64,5,0.8558888888888889
32,32,1,5,1,SGD,0.01,0.5,16,5,0.903
32,32,1,5,1,SGD,0.01,0.5,32,5,0.8977777777777778
32,32,1,5,1,SGD,0.01,0.5,64,5,0.882
32,32,1,5,1,SGD,0.01,0.9,16,5,0.9053333333333333
32,32,1,5,1,SGD,0.01,0.9,32,5,0.9151111111111111
32,32,1,5,1,SGD,0.01,0.9,64,5,0.9121111111111111
32,32,1,5,2,SGD,0.001,0.0,16,5,0.8336666666666667
32,32,1,5,2,SGD,0.001,0.0,32,5,0.7961111111111111
32,32,1,5,2,SGD,0.001,0.0,64,5,0.7603333333333333
32,32,1,5,2,SGD,0.001,0.5,16,5,0.8382222222222222
32,32,1,5,2,SGD,0.001,0.5,32,5,0.8252222222222222
32,32,1,5,2,SGD,0.001,0.5,64,5,0.7875555555555556
32,32,1,5,2,SGD,0.001,0.9,16,5,0.9006666666666666
32,32,1,5,2,SGD,0.001,0.9,32,5,0.8856666666666667
32,32,1,5,2,SGD,0.001,0.9,64,5,0.8686666666666667
32,32,1,5,2,SGD,0.01,0.0,16,5,0.8952222222222223
32,32,1,5,2,SGD,0.01,0.0,32,5,0.8875555555555555
32,32,1,5,2,SGD,0.01,0.0,64,5,0.8683333333333333
32,32,1,5,2,SGD,0.01,0.5,16,5,0.9117777777777778
32,32,1,5,2,SGD,0.01,0.5,32,5,0.9012222222222223
32,32,1,5,2,SGD,0.01,0.5,64,5,0.881
32,32,1,5,2,SGD,0.01,0.9,16,5,0.9076666666666666
32,32,1,5,2,SGD,0.01,0.9,32,5,0.9026666666666666
32,32,1,5,2,SGD,0.01,0.9,64,5,0.9045555555555556
32,64,1,3,1,SGD,0.001,0.0,16,5,0.812
32,64,1,3,1,SGD,0.001,0.0,32,5,0.8062222222222222
32,64,1,3,1,SGD,0.001,0.0,64,5,0.7765555555555556
32,64,1,3,1,SGD,0.001,0.5,16,5,0.8657777777777778
32,64,1,3,1,SGD,0.001,0.5,32,5,0.8236666666666667
32,64,1,3,1,SGD,0.001,0.5,64,5,0.8083333333333333
32,64,1,3,1,SGD,0.001,0.9,16,5,0.8992222222222223
32,64,1,3,1,SGD,0.001,0.9,32,5,0.8884444444444445
32,64,1,3,1,SGD,0.001,0.9,64,5,0.8566666666666667
32,64,1,3,1,SGD,0.01,0.0,16,5,0.9008888888888889
32,64,1,3,1,SGD,0.01,0.0,32,5,0.8871111111111111
32,64,1,3,1,SGD,0.01,0.0,64,5,0.8673333333333333
32,64,1,3,1,SGD,0.01,0.5,16,5,0.9062222222222223
32,64,1,3,1,SGD,0.01,0.5,32,5,0.9041111111111111
32,64,1,3,1,SGD,0.01,0.5,64,5,0.8838888888888888
32,64,1,3,1,SGD,0.01,0.9,16,5,0.9155555555555556
32,64,1,3,1,SGD,0.01,0.9,32,5,0.9187777777777778
32,64,1,3,1,SGD,0.01,0.9,64,5,0.9164444444444444
32,64,1,3,2,SGD,0.001,0.0,16,5,0.8301111111111111
32,64,1,3,2,SGD,0.001,0.0,32,5,0.8132222222222222
32,64,1,3,2,SGD,0.001,0.0,64,5,0.7702222222222223
32,64,1,3,2,SGD,0.001,0.5,16,5,0.8687777777777778
32,64,1,3,2,SGD,0.001,0.5,32,5,0.8313333333333334
32,64,1,3,2,SGD,0.001,0.5,64,5,0.8108888888888889
32,64,1,3,2,SGD,0.001,0.9,16,5,0.9007777777777778
32,64,1,3,2,SGD,0.001,0.9,32,5,0.8904444444444445
32,64,1,3,2,SGD,0.001,0.9,64,5,0.8661111111111112
32,64,1,3,2,SGD,0.01,0.0,16,5,0.8986666666666666
32,64,1,3,2,SGD,0.01,0.0,32,5,0.8787777777777778
32,64,1,3,2,SGD,0.01,0.0,64,5,0.8521111111111112
32,64,1,3,2,SGD,0.01,0.5,16,5,0.8938888888888888
32,64,1,3,2,SGD,0.01,0.5,32,5,0.8951111111111111
32,64,1,3,2,SGD,0.01,0.5,64,5,0.8857777777777778
32,64,1,3,2,SGD,0.01,0.9,16,5,0.9147777777777778
32,64,1,3,2,SGD,0.01,0.9,32,5,0.9198888888888889
32,64,1,3,2,SGD,0.01,0.9,64,5,0.9082222222222223
32,64,1,5,1,SGD,0.001,0.0,16,5,0.8273333333333334
32,64,1,5,1,SGD,0.001,0.0,32,5,0.7788888888888889
32,64,1,5,1,SGD,0.001,0.0,64,5,0.7401111111111112
32,64,1,5,1,SGD,0.001,0.5,16,5,0.8328888888888889
32,64,1,5,1,SGD,0.001,0.5,32,5,0.8142222222222222
32,64,1,5,1,SGD,0.001,0.5,64,5,0.792
32,64,1,5,1,SGD,0.001,0.9,16,5,0.8997777777777778
32,64,1,5,1,SGD,0.001,0.9,32,5,0.8867777777777778
32,64,1,5,1,SGD,0.001,0.9,64,5,0.8648888888888889
32,64,1,5,1,SGD,0.01,0.0,16,5,0.885
32,64,1,5,1,SGD,0.01,0.0,32,5,0.8791111111111111
32,64,1,5,1,SGD,0.01,0.0,64,5,0.8618888888888889
32,64,1,5,1,SGD,0.01,0.5,16,5,0.9141111111111111
32,64,1,5,1,SGD,0.01,0.5,32,5,0.8995555555555556
32,64,1,5,1,SGD,0.01,0.5,64,5,0.884
32,64,1,5,1,SGD,0.01,0.9,16,5,0.9105555555555556
32,64,1,5,1,SGD,0.01,0.9,32,5,0.9087777777777778
32,64,1,5,1,SGD,0.01,0.9,64,5,0.911
32,64,1,5,2,SGD,0.001,0.0,16,5,0.8308888888888889
32,64,1,5,2,SGD,0.001,0.0,32,5,0.8002222222222222
32,64,1,5,2,SGD,0.001,0.0,64,5,0.7582222222222222
32,64,1,5,2,SGD,0.001,0.5,16,5,0.8642222222222222
32,64,1,5,2,SGD,0.001,0.5,32,5,0.8438888888888889
32,64,1,5,2,SGD,0.001,0.5,64,5,0.8101111111111111
32,64,1,5,2,SGD,0.001,0.9,16,5,0.8964444444444445
32,64,1,5,2,SGD,0.001,0.9,32,5,0.8898888888888888
32,64,1,5,2,SGD,0.001,0.9,64,5,0.8718888888888889
32,64,1,5,2,SGD,0.01,0.0,16,5,0.9033333333333333
32,64,1,5,2,SGD,0.01,0.0,32,5,0.8928888888888888
32,64,1,5,2,SGD,0.01,0.0,64,5,0.8733333333333333
32,64,1,5,2,SGD,0.01,0.5,16,5,0.9152222222222223
32,64,1,5,2,SGD,0.01,0.5,32,5,0.891
32,64,1,5,2,SGD,0.01,0.5,64,5,0.8915555555555555
32,64,1,5,2,SGD,0.01,0.9,16,5,0.9162222222222223
32,64,1,5,2,SGD,0.01,0.9,32,5,0.9202222222222223
32,64,1,5,2,SGD,0.01,0.9,64,5,0.9084444444444445
